Text: #include <iostream>	token: PREPROCESSOR	lineno: 1
Text: using namespace std;	token: KEYWORD_USING_NAMESPACE	lineno: 3
Text: int	token: KEYWORD_INT	lineno: 5
Text: main	token: KEYWORD_MAIN	lineno: 5
Text: (	token: LPAREN	lineno: 5
Text: )	token: RPAREN	lineno: 5
Text: {	token: LBRACE	lineno: 5
Text: int	token: KEYWORD_INT	lineno: 6
Text: n	token: ID	lineno: 6
Text: ;	token: SEMI	lineno: 6
Text: cout	token: ID	lineno: 7
Text: <	token: RELOP	lineno: 7
Text: <	token: RELOP	lineno: 7
Text: "Enter the amount of numbers you want to input"	token: STRING	lineno: 7
Text: ;	token: SEMI	lineno: 7
Text: cin	token: ID	lineno: 8
Text: >	token: RELOP	lineno: 8
Text: >	token: RELOP	lineno: 8
Text: n	token: ID	lineno: 8
Text: ;	token: SEMI	lineno: 8
Text: int	token: KEYWORD_INT	lineno: 9
Text: sum	token: ID	lineno: 9
Text: =	token: ASSIGN	lineno: 9
Text: 0	token: ICONST	lineno: 9
Text: ;	token: SEMI	lineno: 9
Text: for	token: KEYWORD_FOR	lineno: 10
Text: (	token: LPAREN	lineno: 10
Text: int	token: KEYWORD_INT	lineno: 10
Text: i	token: ID	lineno: 10
Text: =	token: ASSIGN	lineno: 10
Text: 0	token: ICONST	lineno: 10
Text: ;	token: SEMI	lineno: 10
Text: i	token: ID	lineno: 10
Text: <	token: RELOP	lineno: 10
Text: n	token: ID	lineno: 10
Text: ;	token: SEMI	lineno: 10
Text: i	token: ID	lineno: 10
Text: +	token: ADDOP	lineno: 10
Text: +	token: ADDOP	lineno: 10
Text: )	token: RPAREN	lineno: 10
Text: {	token: LBRACE	lineno: 10
Text: int	token: KEYWORD_INT	lineno: 11
Text: val	token: ID	lineno: 11
Text: ;	token: SEMI	lineno: 11
Text: cin	token: ID	lineno: 12
Text: >	token: RELOP	lineno: 12
Text: >	token: RELOP	lineno: 12
Text: val	token: ID	lineno: 12
Text: ;	token: SEMI	lineno: 12
Text: sum	token: ID	lineno: 13
Text: +	token: ADDOP	lineno: 13
Text: =	token: ASSIGN	lineno: 13
Text: val	token: ID	lineno: 13
Text: ;	token: SEMI	lineno: 13
Text: }	token: RBRACE	lineno: 14
Text: cout	token: ID	lineno: 15
Text: <	token: RELOP	lineno: 15
Text: <	token: RELOP	lineno: 15
Text: "Your sum is: "	token: STRING	lineno: 15
Text: <	token: RELOP	lineno: 15
Text: <	token: RELOP	lineno: 15
Text: sum	token: ID	lineno: 15
Text: ;	token: SEMI	lineno: 15
Text: }	token: RBRACE	lineno: 16
